UID        PID  PPID  C STIME TTY          TIME CMD
root       109     2  0 Aug08 ?        00:03:10 [kworker/15:1]
root       110     2  0 Aug08 ?        00:00:00 [khungtaskd]
root       111     2  0 Aug08 ?        00:00:00 [kswapd0]
root       112     2  0 Aug08 ?        00:00:00 [kswapd1]
root       113     2  0 Aug08 ?        00:00:00 [ksmd]
root       114     2  0 Aug08 ?        00:00:08 [khugepaged]
root       115     2  0 Aug08 ?        00:00:00 [fsnotify_mark]
root       117     2  0 Aug08 ?        00:00:00 [crypto]
root       119     2  0 Aug08 ?        00:00:00 [kthrotld]
root       146     2  0 Aug08 ?        00:04:34 [kworker/3:1]
root       147     2  0 Aug08 ?        00:00:00 [kpsmoused]
root       150     2  0 Aug08 ?        00:08:19 [kworker/7:1]
root       152     2  0 Aug08 ?        00:02:30 [kworker/14:1]
root       175     2  0 Aug08 ?        00:03:09 [kworker/13:1]
root       201     2  0 Aug08 ?        00:00:00 [scsi_eh_0]
root       209     2  0 Aug08 ?        00:08:55 [kworker/8:1]
root       210     2  0 Aug08 ?        00:07:27 [kworker/9:1]
root       211     2  0 Aug08 ?        00:02:46 [kworker/20:1]
root       212     2  0 Aug08 ?        00:02:47 [kworker/21:1]
root       214     2  0 Aug08 ?        00:00:02 [lpfc_worker_0]
root       216     2  0 Aug08 ?        00:06:29 [kworker/22:1]
root       217     2  0 Aug08 ?        00:05:01 [kworker/10:1]
root       218     2  0 Aug08 ?        00:04:18 [kworker/4:1]
root       219     2  0 Aug08 ?        00:10:23 [kworker/11:1]
root       220     2  0 Aug08 ?        00:02:42 [kworker/17:1]
root       221     2  0 Aug08 ?        00:01:49 [kworker/23:1]
root       222     2  0 Aug08 ?        00:05:55 [kworker/5:1]
root       223     2  0 Aug08 ?        00:01:44 [kworker/16:1]
root       224     2  0 Aug08 ?        00:02:37 [kworker/12:1]
root       225     2  0 Aug08 ?        00:00:00 [scsi_eh_1]
root       226     2  0 Aug08 ?        00:00:00 [scsi_wq_1]
root       228     2  0 Aug08 ?        00:00:02 [lpfc_worker_1]
root       229     2  0 Aug08 ?        00:00:00 [scsi_eh_2]
root       230     2  0 Aug08 ?        00:00:00 [scsi_wq_2]
root       271     2  0 Aug08 ?        00:03:57 [kworker/15:2]
root       279     2  0 Aug08 ?        00:00:00 [kmpath_rdacd]
bsc        305 64973  0 Aug10 ?        00:25:54 /u40/apps/bsc/software/BSC/bsc/bin/oci_db_rcv -t ODR_1800_01_01 -l bsc_24_4_0_0 -p bsc_24_4_0_0@bsct5 -i bsc_24_4_0_0_oci_db_receive_high -d 0
oracle     314     1  0 Aug10 ?        00:49:54 oraclebsct5 (LOCAL=NO)
bsc        409 64973  0 Aug10 ?        00:29:08 /u40/apps/bsc/software/BSC/bsc/bin/oci_db_snd -t ODS_1800_01_02 -l bsc_24_4_0_0 -p bsc_24_4_0_0@bsct5 -d 0
oracle     418     1  6 Aug10 ?        14:04:42 oraclebsct5 (LOCAL=NO)
root       605     2  0 13:24 ?        00:00:00 [kworker/u:1]
root       654     2  0 Aug08 ?        00:04:36 [kworker/2:2]
root       655     2  0 Aug08 ?        00:00:00 [khubd]
root       669     2  0 Aug08 ?        00:06:43 [kworker/1:2]
bsc        735 64973  0 Aug10 ?        00:02:32 /u40/apps/bsc/software/BSC/bsc/bin/neta2que -p HRC_1800_04_01 -c -d 0 -o 0 -s 4 -q DSP_1800_03_01 -n 43004 -i CM-BSC-HLC-T5
root       886     2  0 Aug08 ?        00:00:00 [kdmflush]
root       892     2  0 Aug08 ?        00:00:00 [kdmflush]
root       900     2  0 Aug08 ?        00:00:00 [kdmflush]
root       960     2  0 Aug08 ?        00:01:01 [flush-253:0]
root       966     2  0 Aug08 ?        00:00:44 [kjournald]
root      1058     1  0 Aug08 ?        00:00:02 /sbin/udevd --daemon
bsc       1073 64973  0 Aug10 ?        00:05:04 /u40/apps/bsc/software/BSC/bsc/bin/que2anet -p HSC_1800_04_02 -d 0 -b 4 -q HSC_1800_04_02 -n 43003 -s CM-BSC-HLC-T5
bsc       1257 64973  0 Aug10 ?        00:14:42 /u40/apps/bsc/software/BSC/bsc/bin/neta2que -p LRC_1800_05_01 -c -d 0 -o 0 -s 5 -q DSP_1800_03_01 -n 43005 -i CM-BSC-LLC-T5
bsc       1419 64973  0 Aug10 ?        00:18:18 /u40/apps/bsc/software/BSC/bsc/bin/que2anet -p LSC_1800_05_02 -d 0 -b 5 -q LSC_1800_05_02 -n 43006 -s CM-BSC-LLC-T5
root      1613     2  0 Aug08 ?        00:00:00 [bnx2x]
root      1825     2  0 Aug08 ?        00:00:00 [kauditd]
root      1865     2  0 Aug08 ?        00:00:00 [kmpathd]
root      1866     2  0 Aug08 ?        00:00:00 [kmpath_handlerd]
root      1906     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1911     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1914     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1919     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1923     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1929     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1935     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1942     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1948     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1954     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1960     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1966     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1981     2  0 Aug08 ?        00:00:00 [kdmflush]
root      1994     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2007     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2021     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2029     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2035     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2043     2  0 Aug08 ?        00:00:00 [kdmflush]
root      2371     2  0 Aug08 ?        00:00:06 [flush-253:2]
root      2415     2  0 Aug08 ?        00:00:00 [kjournald]
root      2416     2  0 Aug08 ?        00:00:04 [kjournald]
root      3130     1  0 Aug08 ?        00:00:00 /sbin/acpid
100       3145     1  0 Aug08 ?        00:00:01 /bin/dbus-daemon --system
root      3163     1  0 Aug08 ?        00:00:52 /sbin/syslog-ng
root      3166     1  0 Aug08 ?        00:00:00 /sbin/klogd -c 1 -x
root      3239     1  0 Aug08 ?        00:02:24 hpasmlited -f /dev/hpilo
101       3636     1  0 Aug08 ?        00:00:12 /usr/sbin/hald --daemon=yes
root      3639     1  0 Aug08 ?        00:00:00 /usr/sbin/console-kit-daemon
root      3640  3636  0 Aug08 ?        00:00:00 hald-runner
root      3735  3640  0 Aug08 ?        00:00:00 hald-addon-input: Listening on /dev/input/event0 /dev/input/event1
root      3821  3640  0 Aug08 ?        00:00:00 /usr/lib64/hal/hald-addon-cpufreq
101       3823  3640  0 Aug08 ?        00:00:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      5202     2  0 Aug08 ?        00:00:00 [bond0]
root      5225     2  0 Aug08 ?        00:10:36 [kworker/7:2]
root      5382     2  0 Aug08 ?        00:00:00 [bond1]
root      5442 64973  0 Aug11 ?        00:05:31 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_10 -d 0 -o 1
root      5614     1  0 Aug08 ?        00:00:01 /opt/etc/tnsxd
oracle    5702     1  0 Aug08 ?        00:01:09 /u01/apps/oracle/product/agent11g/perl/bin/perl /u01/apps/oracle/product/agent11g/bin/emwd.pl agent /u01/apps/oracle/product/agent11g/sysman/log/emagent.nohup
root      5703     1  0 Aug08 ?        00:00:00 /opt/hp/vcagent/bin/vcagentd
root      5719 64973  0 Aug11 ?        00:10:25 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_11 -d 0 -o 1
root      5762     1  0 Aug08 ?        00:00:00 /sbin/auditd -s disable
root      5764  5762  0 Aug08 ?        00:00:00 /sbin/audispd
root      5795     1  0 Aug08 ?        00:11:30 /sbin/haveged -w 1024 -v 1
root      5811     1  0 Aug08 ?        00:18:44 /sbin/multipathd
oracle    5818  5702  0 Aug08 ?        00:04:33 /u01/apps/oracle/product/agent11g/bin/emagent
root      6006     1  1 Aug18 ?        00:23:09 /usr/sbin/snmpd -r -A -LF i /var/log/net-snmpd.log -p /var/run/snmpd.pid
root      6044 64973  0 Aug11 ?        00:05:59 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_12 -d 0 -o 1
root      6172     1  0 Aug08 ?        00:00:00 /sbin/rpcbind
root      6190 64973  0 Aug11 ?        00:11:14 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_13 -d 0 -o 1
root      6215     1  0 Aug08 ?        00:00:26 /usr/sbin/nsrexecd
root      6381     2  0 Aug08 ?        00:00:00 [hcp_watchdog]
root      6382     1  0 Aug08 ?        00:00:15 /usr/sbin/r1soft/bin/cdp -s -c /usr/sbin/r1soft/conf/agent_config
root      6388 64973  0 Aug11 ?        00:07:25 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_14 -d 0 -o 1
root      6424     1  0 Aug08 ?        00:03:36 /usr/sbin/irqbalance
root      6434     1  0 Aug08 ?        00:01:35 ha_logd: read process          
root      6443  6434  0 Aug08 ?        00:00:37 ha_logd: write process         
root      6459     1  0 Aug08 ?        00:00:00 /usr/sbin/mcelog --daemon --config-file /etc/mcelog/mcelog.conf
root      6567 64973  0 Aug11 ?        00:06:32 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_15 -d 0 -o 1
root      6907 64973  0 Aug11 ?        00:06:50 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_16 -d 0 -o 1
root      7209 64973  0 Aug11 ?        00:06:13 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_17 -d 0 -o 1
root      7211     1  0 Aug08 ?        00:00:11 /usr/sbin/sshd -o PidFile=/var/run/sshd.init.pid
root      7240     1  0 Aug08 ?        00:03:46 /opt/quest/sbin/vasd -p /var/opt/quest/vas/vasd/.vasd.pid
daemon    7263  7240  0 Aug08 ?        00:00:59 /opt/quest/sbin/vasd -p /var/opt/quest/vas/vasd/.vasd.pid
ntp       7265     1  0 Aug08 ?        00:00:31 /usr/sbin/ntpd -p /var/run/ntp/ntpd.pid -g -u ntp:ntp -i /var/lib/ntp -c /etc/ntp.conf
root      7284     1  0 Aug08 ?        00:00:00 /usr/sbin/cupsd
root      7358 64973  0 Aug11 ?        00:06:05 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_18 -d 0 -o 1
