USER       PID                  STARTED COMMAND
root       111 Sat Aug  8 11:21:51 2015 [kswapd0]
root       112 Sat Aug  8 11:21:51 2015 [kswapd1]
root       113 Sat Aug  8 11:21:52 2015 [ksmd]
root       114 Sat Aug  8 11:21:52 2015 [khugepaged]
root       115 Sat Aug  8 11:21:52 2015 [fsnotify_mark]
root       117 Sat Aug  8 11:21:52 2015 [crypto]
root       119 Sat Aug  8 11:21:52 2015 [kthrotld]
root       146 Sat Aug  8 11:21:52 2015 [kworker/3:1]
root       147 Sat Aug  8 11:21:52 2015 [kpsmoused]
root       150 Sat Aug  8 11:21:52 2015 [kworker/7:1]
root       152 Sat Aug  8 11:21:52 2015 [kworker/14:1]
root       175 Sat Aug  8 11:21:52 2015 [kworker/13:1]
root       201 Sat Aug  8 11:21:52 2015 [scsi_eh_0]
root       209 Sat Aug  8 11:21:52 2015 [kworker/8:1]
root       210 Sat Aug  8 11:21:52 2015 [kworker/9:1]
root       211 Sat Aug  8 11:21:52 2015 [kworker/20:1]
root       212 Sat Aug  8 11:21:52 2015 [kworker/21:1]
root       214 Sat Aug  8 11:21:53 2015 [lpfc_worker_0]
root       216 Sat Aug  8 11:21:53 2015 [kworker/22:1]
root       217 Sat Aug  8 11:21:53 2015 [kworker/10:1]
root       218 Sat Aug  8 11:21:53 2015 [kworker/4:1]
root       219 Sat Aug  8 11:21:53 2015 [kworker/11:1]
root       220 Sat Aug  8 11:21:53 2015 [kworker/17:1]
root       221 Sat Aug  8 11:21:53 2015 [kworker/23:1]
root       222 Sat Aug  8 11:21:53 2015 [kworker/5:1]
root       223 Sat Aug  8 11:21:53 2015 [kworker/16:1]
root       224 Sat Aug  8 11:21:53 2015 [kworker/12:1]
root       225 Sat Aug  8 11:21:53 2015 [scsi_eh_1]
root       226 Sat Aug  8 11:21:53 2015 [scsi_wq_1]
root       228 Sat Aug  8 11:21:54 2015 [lpfc_worker_1]
root       229 Sat Aug  8 11:21:54 2015 [scsi_eh_2]
root       230 Sat Aug  8 11:21:54 2015 [scsi_wq_2]
root       271 Sat Aug  8 11:21:56 2015 [kworker/15:2]
root       279 Sat Aug  8 11:21:57 2015 [kmpath_rdacd]
bsc        305 Mon Aug 10 01:43:08 2015 /u40/apps/bsc/software/BSC/bsc/bin/oci_db_rcv -t ODR_1800_01_01 -l bsc_24_4_0_0 -p bsc_24_4_0_0@bsct5 -i bsc_24_4_0_0_oci_db_receive_high -d 0
oracle     314 Mon Aug 10 01:43:08 2015 oraclebsct5 (LOCAL=NO)
bsc        409 Mon Aug 10 01:43:12 2015 /u40/apps/bsc/software/BSC/bsc/bin/oci_db_snd -t ODS_1800_01_02 -l bsc_24_4_0_0 -p bsc_24_4_0_0@bsct5 -d 0
oracle     418 Mon Aug 10 01:43:12 2015 oraclebsct5 (LOCAL=NO)
root       605 Wed Aug 19 13:24:26 2015 [kworker/u:1]
root       654 Sat Aug  8 11:22:02 2015 [kworker/2:2]
root       655 Sat Aug  8 11:22:02 2015 [khubd]
root       669 Sat Aug  8 11:22:03 2015 [kworker/1:2]
bsc        735 Mon Aug 10 01:43:22 2015 /u40/apps/bsc/software/BSC/bsc/bin/neta2que -p HRC_1800_04_01 -c -d 0 -o 0 -s 4 -q DSP_1800_03_01 -n 43004 -i CM-BSC-HLC-T5
root       886 Sat Aug  8 11:22:06 2015 [kdmflush]
root       892 Sat Aug  8 11:22:06 2015 [kdmflush]
root       900 Sat Aug  8 11:22:06 2015 [kdmflush]
root       960 Sat Aug  8 11:22:11 2015 [flush-253:0]
root       966 Sat Aug  8 11:22:46 2015 [kjournald]
root      1058 Sat Aug  8 11:22:47 2015 /sbin/udevd --daemon
bsc       1073 Mon Aug 10 01:43:26 2015 /u40/apps/bsc/software/BSC/bsc/bin/que2anet -p HSC_1800_04_02 -d 0 -b 4 -q HSC_1800_04_02 -n 43003 -s CM-BSC-HLC-T5
bsc       1257 Mon Aug 10 01:43:30 2015 /u40/apps/bsc/software/BSC/bsc/bin/neta2que -p LRC_1800_05_01 -c -d 0 -o 0 -s 5 -q DSP_1800_03_01 -n 43005 -i CM-BSC-LLC-T5
bsc       1419 Mon Aug 10 01:43:33 2015 /u40/apps/bsc/software/BSC/bsc/bin/que2anet -p LSC_1800_05_02 -d 0 -b 5 -q LSC_1800_05_02 -n 43006 -s CM-BSC-LLC-T5
root      1613 Sat Aug  8 11:22:50 2015 [bnx2x]
root      1825 Sat Aug  8 11:22:54 2015 [kauditd]
root      1865 Sat Aug  8 11:22:54 2015 [kmpathd]
root      1866 Sat Aug  8 11:22:54 2015 [kmpath_handlerd]
root      1906 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1911 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1914 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1919 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1923 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1929 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1935 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1942 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1948 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1954 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1960 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1966 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1981 Sat Aug  8 11:22:54 2015 [kdmflush]
root      1994 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2007 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2021 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2029 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2035 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2043 Sat Aug  8 11:22:54 2015 [kdmflush]
root      2371 Sat Aug  8 11:23:00 2015 [flush-253:2]
root      2415 Sat Aug  8 11:23:31 2015 [kjournald]
root      2416 Sat Aug  8 11:23:31 2015 [kjournald]
root      3130 Sat Aug  8 11:23:38 2015 /sbin/acpid
100       3145 Sat Aug  8 11:23:38 2015 /bin/dbus-daemon --system
root      3163 Sat Aug  8 11:23:38 2015 /sbin/syslog-ng
root      3166 Sat Aug  8 11:23:38 2015 /sbin/klogd -c 1 -x
root      3239 Sat Aug  8 11:23:59 2015 hpasmlited -f /dev/hpilo
101       3636 Sat Aug  8 11:24:00 2015 /usr/sbin/hald --daemon=yes
root      3639 Sat Aug  8 11:24:00 2015 /usr/sbin/console-kit-daemon
root      3640 Sat Aug  8 11:24:00 2015 hald-runner
root      3735 Sat Aug  8 11:24:00 2015 hald-addon-input: Listening on /dev/input/event0 /dev/input/event1
root      3821 Sat Aug  8 11:24:00 2015 /usr/lib64/hal/hald-addon-cpufreq
101       3823 Sat Aug  8 11:24:00 2015 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      5202 Sat Aug  8 11:24:03 2015 [bond0]
root      5225 Sat Aug  8 11:24:03 2015 [kworker/7:2]
root      5382 Sat Aug  8 11:24:04 2015 [bond1]
root      5442 Tue Aug 11 09:07:14 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_10 -d 0 -o 1
root      5614 Sat Aug  8 11:24:07 2015 /opt/etc/tnsxd
